,Producto,Precio,Url
0,Aire acondicionado BGH Silent Air  split  frío/calor 3000 frigorías  blanco 220V BS35WCCR,$124.999,https://www.mercadolibre.com.ar/aire-acondicionado-bgh-silent-air-split-friocalor-3000-frigorias-blanco-220v-bs35wccr/p/MLA15236638?pdp_filters=category:MLA1644#searchVariation=MLA15236638&position=1&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
1,Aire acondicionado Philco  split  frío/calor 2881 frigorías  blanco 220V - 240V PHS32HA3AN,$108.999,https://www.mercadolibre.com.ar/aire-acondicionado-philco-split-friocalor-2881-frigorias-blanco-220v-240v-phs32ha3an/p/MLA15786361?pdp_filters=category:MLA1644#searchVariation=MLA15786361&position=2&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
2,Aire acondicionado BGH  split  frío/calor 3000 frigorías  blanco 220V BS35WCAT,$124.999,https://www.mercadolibre.com.ar/aire-acondicionado-bgh-split-friocalor-3000-frigorias-blanco-220v-bs35wcat/p/MLA18705457?pdp_filters=category:MLA1644#searchVariation=MLA18705457&position=3&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
3,Aire acondicionado BGH Silent Air  split  frío/calor 2300 frigorías  blanco 220V BS26WCCR,$114.999,https://www.mercadolibre.com.ar/aire-acondicionado-bgh-silent-air-split-friocalor-2300-frigorias-blanco-220v-bs26wccr/p/MLA15219029?pdp_filters=category:MLA1644#searchVariation=MLA15219029&position=4&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
4,Aire acondicionado BGH Silent Air  split  frío/calor 4500 frigorías  blanco 220V BS52WCCR,$209.999,https://www.mercadolibre.com.ar/aire-acondicionado-bgh-silent-air-split-friocalor-4500-frigorias-blanco-220v-bs52wccr/p/MLA18438403?pdp_filters=category:MLA1644#searchVariation=MLA18438403&position=5&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
5,Aire acondicionado Philco  split  frío/calor  blanco 220V PHS25HA4CN,$103.999,https://www.mercadolibre.com.ar/aire-acondicionado-philco-split-friocalor-blanco-220v-phs25ha4cn/p/MLA19081652?pdp_filters=category:MLA1644#searchVariation=MLA19081652&position=6&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
6,Aire acondicionado Noblex  split  frío/calor 2881 frigorías  blanco 220V NXS32HA3AN,$109.999,https://www.mercadolibre.com.ar/aire-acondicionado-noblex-split-friocalor-2881-frigorias-blanco-220v-nxs32ha3an/p/MLA18918141?pdp_filters=category:MLA1644#searchVariation=MLA18918141&position=7&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
7,Aire acondicionado BGH Silent Air  split inverter  frío/calor 3000 frigorías  blanco 220V BSI35WCGT,$144.999,https://www.mercadolibre.com.ar/aire-acondicionado-bgh-silent-air-split-inverter-friocalor-3000-frigorias-blanco-220v-bsi35wcgt/p/MLA19147746?pdp_filters=category:MLA1644#searchVariation=MLA19147746&position=8&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
8,Aire acondicionado TCL Elite  split  frío/calor 2838 frigorías  blanco 220V TACA-3300FCSA/EL,$144.999,https://www.mercadolibre.com.ar/aire-acondicionado-tcl-elite-split-friocalor-2838-frigorias-blanco-220v-taca-3300fcsael/p/MLA16266245?pdp_filters=category:MLA1644#searchVariation=MLA16266245&position=9&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
9,Aire acondicionado LG Dual Cool Inverter  split  frío/calor 3000 frigorías  blanco 220V - 240V S4-W12JA3AA,$191.999,https://www.mercadolibre.com.ar/aire-acondicionado-lg-dual-cool-inverter-split-friocalor-3000-frigorias-blanco-220v-240v-s4-w12ja3aa/p/MLA8911336?pdp_filters=category:MLA1644#searchVariation=MLA8911336&position=10&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
10,Aire acondicionado Samsung  split inverter  frío/calor 5624 frigorías  blanco 220V - 240V AR24ASHQAWK,$275.990,https://www.mercadolibre.com.ar/aire-acondicionado-samsung-split-inverter-friocalor-5624-frigorias-blanco-220v-240v-ar24ashqawk/p/MLA18637277?pdp_filters=category:MLA1644#searchVariation=MLA18637277&position=11&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
11,Aire acondicionado BGH Silent Air  split inverter  frío/calor 2950 frigorías  blanco 220V BSI35WCCR,$179.999,https://www.mercadolibre.com.ar/aire-acondicionado-bgh-silent-air-split-inverter-friocalor-2950-frigorias-blanco-220v-bsi35wccr/p/MLA16204854?pdp_filters=category:MLA1644#searchVariation=MLA16204854&position=12&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
12,Aire acondicionado Alaska  split  frío/calor 2967 frigorías  blanco 220V AS35WCCS,$100.900,https://www.mercadolibre.com.ar/aire-acondicionado-alaska-split-friocalor-2967-frigorias-blanco-220v-as35wccs/p/MLA18451136?pdp_filters=category:MLA1644#searchVariation=MLA18451136&position=13&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
13,Aire acondicionado TCL Elite  split inverter  frío/calor 4558 frigorías  blanco 220V TACA-5300FCSA/EL INV,$208.999,https://www.mercadolibre.com.ar/aire-acondicionado-tcl-elite-split-inverter-friocalor-4558-frigorias-blanco-220v-taca-5300fcsael-inv/p/MLA17333850?pdp_filters=category:MLA1644#searchVariation=MLA17333850&position=14&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
14,Aire acondicionado Surrey Residencial  split inverter  frío/calor 2967 frigorías  blanco 220V 553GIQ1201F,$147.950,https://www.mercadolibre.com.ar/aire-acondicionado-surrey-residencial-split-inverter-friocalor-2967-frigorias-blanco-220v-553giq1201f/p/MLA19539395?pdp_filters=category:MLA1644#searchVariation=MLA19539395&position=15&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
15,Aire acondicionado Hitachi  split inverter  frío/calor 2752 frigorías  blanco 220V HSFY3200FCINV,$139.999,https://www.mercadolibre.com.ar/aire-acondicionado-hitachi-split-inverter-friocalor-2752-frigorias-blanco-220v-hsfy3200fcinv/p/MLA19558013?pdp_filters=category:MLA1644#searchVariation=MLA19558013&position=16&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
16,Aire acondicionado LG Dual Cool  split inverter  frío/calor 4500 frigorías  blanco 220V S4-W18KL3AA,$292.999,https://www.mercadolibre.com.ar/aire-acondicionado-lg-dual-cool-split-inverter-friocalor-4500-frigorias-blanco-220v-s4-w18kl3aa/p/MLA8848227?pdp_filters=category:MLA1644#searchVariation=MLA8848227&position=17&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
17,Aire acondicionado Siam  split  frío/calor 2881 frigorías  blanco 220V SMS32HA3AN,$107.239,https://www.mercadolibre.com.ar/aire-acondicionado-siam-split-friocalor-2881-frigorias-blanco-220v-sms32ha3an/p/MLA16212559?pdp_filters=category:MLA1644#searchVariation=MLA16212559&position=18&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
18,Aire Siam 8000w Frio Calor Sms80ha4an,$279.000,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=wP053O%2BQ%2FULyy%2FLTtXJSOtK%2B22vHcxNwbFzKHPyDHdFA6IAfCZlzqN1PIu57C98wTI%2FMNhHHDFX0TG7x8lG5ZYHCaPeDlN%2FwXo3tLCuV6z%2FBrd%2FXnEST7X27TvirHMR2Ejr42B34CP3XMWGJMp2EVCh0cs39kc%2FN4opABKEQwEecZLIAix1juP9Qrh%2B65pR%2FhJX2DRVPRcl%2Bkn%2B39x9WZMLIfnIOhDbzBTn375nAb8ufRFn%2Bi2Q537xa5ezvKie49626msELrl%2BPSkQ3vWe294LFIAVNiHzgCIikclYgUboAYAEmu%2FucDE7p6pwGplmf1KE4yqriNQm2eoEGCyagAG47wRzH4zxMxYNW1CVj0B0mA7iMBgXqfwx92%2BZ0tm5oxkh1fGCFJZnEDM%2F8Vm1Pqrk%2FBIdfUi0Z8scmhMFYpOzzF5Y80%2FXh05SjaTmeRUUFhESgd0frYw9Gjr10%2BfHWM0iVcyRR301iIU6O8nwyxzen2a4rRsggsbM%2FDZQ8ZAUAjtX%2BQ%2B%2BZ4b3dvyAjgEzXnDkZSotu3hHu%2FVadJ%2FvOWkiBdm8S4sHyyP2yiA47aWCaPjCq%2BK1t31m18ZQGxov%2FE%2BDSmEWRyYcuFY7t%2F487dNvAbH538OMpxjdsTqE1cXsXs1UZ%2FfwSprHVDpzJL4MaW%2BdQ0l3rsL9WJ6N2VA%2FBzg%3D%3D&rb=x
19,Aire Portátil Midea 3000 Kcal/h Frío Calor,$133.999,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0oq%2Ba7nacWDS3WfqGky%2FnyfVre40LMEGj%2FTItemq5zuCTAkgzL7f6PDL5HUMGlzPfhCyDU6i5wP%2FYPjSEj%2FIID5VHdkKzCm5flYBgk5VfiBYpL0ajG%2BujUkH1mYrJzKAe9f7BiBswd6m6Bi651qjQ4YzYSHUKWSZOEeOWLCxkFQ%2Fqusjn66U78YSs3zoc%2BM6S71DBlmNS64TAr%2FiN%2BGJBGH%2F1T9oAa5nx2qHXoan%2Fa6pw4Lz3nctsfbOzaGO5CGpLP32ttkVzoOW%2Bi5Lf%2FETudiTz2dXu91%2FrittpqEaR78oGXjSje%2Bp5EyFE%2BtWFQ7j1%2Bjh55sx%2FSuRmFra9xhOR%2Fm%2FXn%2BztLbcvROlDSivLS1KdPvwhrVop5Brr6wVA5vAdRaGpUMcaLetD5iR3A681a%2FUCIdBy7lo15KwNhtlUZ%2FA1tmK9clNd83JC3gI%2FXBkIm6Jx%2Bdy%2F%2F4i74i8F3SmeuG5JpUCORR4dWJ5nTJUEzEQR%2B7tDvdGmJz6H9VbXfPXjAnMic4CMSn0WrACBreUWOqAgB7BM23hx%2FDS9yfjQ1Mk93PR%2F6Cq%2FcbmrlRaIDOMhnl2PcTkTYKTxuPbltkr6OM%2BhbLRGZwvcsBFE4RbhCgYIJQUH8hRt9flZ35Y%2BopDGCZJ6vHvXGtYQMS5BO%2BNzvFWz4sNMZYjRNvZ8O3YvLEAEWk%3D&rb=x
20,Aire acondicionado BGH  split  frío/calor 2300 frigorías  blanco 220V BS26WCAT,$129.999,https://www.mercadolibre.com.ar/aire-acondicionado-bgh-split-friocalor-2300-frigorias-blanco-220v-bs26wcat/p/MLA18921529?pdp_filters=category:MLA1644#searchVariation=MLA18921529&position=21&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
21,Aire acondicionado LG Art Cool  split inverter  frío/calor 3000 frigorías  negro 220V S4-W12JARPA,$294.999,https://www.mercadolibre.com.ar/aire-acondicionado-lg-art-cool-split-inverter-friocalor-3000-frigorias-negro-220v-s4-w12jarpa/p/MLA10345749?pdp_filters=category:MLA1644#searchVariation=MLA10345749&position=22&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
22,Aire acondicionado TCL Elite  split  frío/calor 4386 frigorías  blanco 220V TACA-5100FCSA/EL,$209.999,https://www.mercadolibre.com.ar/aire-acondicionado-tcl-elite-split-friocalor-4386-frigorias-blanco-220v-taca-5100fcsael/p/MLA18643117?pdp_filters=category:MLA1644#searchVariation=MLA18643117&position=23&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
23,Aire acondicionado Philco Eco Plus  split inverter  frío/calor 2838 frigorías  blanco 220V PHIN32H17N,$159.999,https://www.mercadolibre.com.ar/aire-acondicionado-philco-eco-plus-split-inverter-friocalor-2838-frigorias-blanco-220v-phin32h17n/p/MLA11381057?pdp_filters=category:MLA1644#searchVariation=MLA11381057&position=24&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
24,Aire acondicionado Philco  split  frío/calor 4472 frigorías  blanco 220V PHS50HA4CN,$179.999,https://www.mercadolibre.com.ar/aire-acondicionado-philco-split-friocalor-4472-frigorias-blanco-220v-phs50ha4cn/p/MLA17007295?pdp_filters=category:MLA1644#searchVariation=MLA17007295&position=25&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
25,Aire acondicionado LG Artcool Inverter ThinQ  split  frío/calor 4500 frigorías  negro 220V S4-W18KLRPA,$349.999,https://www.mercadolibre.com.ar/aire-acondicionado-lg-artcool-inverter-thinq-split-friocalor-4500-frigorias-negro-220v-s4-w18klrpa/p/MLA10345755?pdp_filters=category:MLA1644#searchVariation=MLA10345755&position=26&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
26,Aire acondicionado Alaska  split  frío/calor 2322 frigorías  blanco 220V AS26WCCS,"$121.998,80",https://www.mercadolibre.com.ar/aire-acondicionado-alaska-split-friocalor-2322-frigorias-blanco-220v-as26wccs/p/MLA18643513?pdp_filters=category:MLA1644#searchVariation=MLA18643513&position=27&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
27,Aire acondicionado Philco de  ventana  frío 2838 frigorías  blanco 220V PHW32CA3AN,$124.999,https://www.mercadolibre.com.ar/aire-acondicionado-philco-de-ventana-frio-2838-frigorias-blanco-220v-phw32ca3an/p/MLA15236650?pdp_filters=category:MLA1644#searchVariation=MLA15236650&position=28&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
28,Aire acondicionado Surrey Portátil Uno  frío/calor 3010 frigorías  blanco 220V 551IDQ1201,$125.000,https://www.mercadolibre.com.ar/aire-acondicionado-surrey-portatil-uno-friocalor-3010-frigorias-blanco-220v-551idq1201/p/MLA15219025?pdp_filters=category:MLA1644#searchVariation=MLA15219025&position=29&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
29,Aire acondicionado Philco  portátil  frío/calor 3010 frigorías  blanco 220V PHP32HA3A,$130.909,https://www.mercadolibre.com.ar/aire-acondicionado-philco-portatil-friocalor-3010-frigorias-blanco-220v-php32ha3a/p/MLA16266241?pdp_filters=category:MLA1644#searchVariation=MLA16266241&position=30&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
30,Aire acondicionado Midea  split inverter  frío/calor 4506 frigorías  blanco 220V MSABIC-18H-01F,$285.399,https://www.mercadolibre.com.ar/aire-acondicionado-midea-split-inverter-friocalor-4506-frigorias-blanco-220v-msabic-18h-01f/p/MLA15354827?pdp_filters=category:MLA1644#searchVariation=MLA15354827&position=31&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
31,Aire acondicionado Sansei  split  frío/calor 2800 frigorías  blanco 220V SAS32HA3AN,$161.999,https://www.mercadolibre.com.ar/aire-acondicionado-sansei-split-friocalor-2800-frigorias-blanco-220v-sas32ha3an/p/MLA17830774?pdp_filters=category:MLA1644#searchVariation=MLA17830774&position=32&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
32,Aire acondicionado BGH Silent Air  split  frío/calor 5500 frigorías  blanco 220V BS55CP,$307.198,https://www.mercadolibre.com.ar/aire-acondicionado-bgh-silent-air-split-friocalor-5500-frigorias-blanco-220v-bs55cp/p/MLA15219027?pdp_filters=category:MLA1644#searchVariation=MLA15219027&position=33&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
33,Aire acondicionado Electra Trend A  split inverter  frío/calor 2924 frigorías  blanco 220V ETRDI35TC,$145.999,https://www.mercadolibre.com.ar/aire-acondicionado-electra-trend-a-split-inverter-friocalor-2924-frigorias-blanco-220v-etrdi35tc/p/MLA14678439?pdp_filters=category:MLA1644#searchVariation=MLA14678439&position=34&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
34,Aire acondicionado Electra Trend Inverter  split  frío/calor 2769.2 frigorías  blanco 220V - 240V ETRDI32TC,$140.843,https://www.mercadolibre.com.ar/aire-acondicionado-electra-trend-inverter-split-friocalor-27692-frigorias-blanco-220v-240v-etrdi32tc/p/MLA18725718?pdp_filters=category:MLA1644#searchVariation=MLA18725718&position=35&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
35,Aire acondicionado BGH  split inverter  frío/calor 5590 frigorías  blanco 220V BSI65WCGT,$353.506,https://www.mercadolibre.com.ar/aire-acondicionado-bgh-split-inverter-friocalor-5590-frigorias-blanco-220v-bsi65wcgt/p/MLA19081650?pdp_filters=category:MLA1644#searchVariation=MLA19081650&position=36&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
36,Aire acondicionado TCL  split inverter  frío/calor 2838 frigorías  blanco 220V TACA-3300 FCSA/INV,$136.399,https://www.mercadolibre.com.ar/aire-acondicionado-tcl-split-inverter-friocalor-2838-frigorias-blanco-220v-taca-3300-fcsainv/p/MLA15348886?pdp_filters=category:MLA1644#searchVariation=MLA15348886&position=37&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
37,Aire acondicionado Hyundai  split  frío/calor 5615 frigorías  blanco 220V HY8-6000FC,$248.927,https://www.mercadolibre.com.ar/aire-acondicionado-hyundai-split-friocalor-5615-frigorias-blanco-220v-hy8-6000fc/p/MLA17513373?pdp_filters=category:MLA1644#searchVariation=MLA17513373&position=38&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
38,Aire acondicionado Carrier  split  frío/calor 4300 frigorías  blanco 220V 53HFA1801E,$242.999,https://www.mercadolibre.com.ar/aire-acondicionado-carrier-split-friocalor-4300-frigorias-blanco-220v-53hfa1801e/p/MLA16266243?pdp_filters=category:MLA1644#searchVariation=MLA16266243&position=39&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
39,Aire acondicionado Samsung Digital Inverter  split  frío/calor 2780.75 frigorías  blanco 220V - 240V AR12ASHQAWK,$139.724,https://www.mercadolibre.com.ar/aire-acondicionado-samsung-digital-inverter-split-friocalor-278075-frigorias-blanco-220v-240v-ar12ashqawk/p/MLA18646136?pdp_filters=category:MLA1644#searchVariation=MLA18646136&position=40&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
40,Aire acondicionado Noblex Inverter Eco Cooling  split  frío/calor 2850 frigorías  blanco 220V NBXIN32H17N,$139.999,https://www.mercadolibre.com.ar/aire-acondicionado-noblex-inverter-eco-cooling-split-friocalor-2850-frigorias-blanco-220v-nbxin32h17n/p/MLA9135005?pdp_filters=category:MLA1644#searchVariation=MLA9135005&position=41&search_layout=stack&type=product&tracking_id=a6bc1ca4-0611-424b-875f-b40bc917f5cb
